method,source,n_days,net_nav,net_sharpe,avg_turnover
equal_weight,deep_cql_run,240,1.1439436690292175,2.7688783594993724,0.0
deep_cql_thr0.2,deep_cql_run,240,1.1078439210471327,1.6897082253618745,0.0213312913385759
two_stage_H10,previous_horizon12,240,1.0739785340528427,1.476937907442381,0.1225594239087686
deep_cql_thr0.1,deep_cql_run,240,1.0974413081589804,1.397366235879021,0.0891884341957188
deep_cql_thr0,deep_cql_run,240,1.098771810992241,1.2908069017881587,0.2120555215373903
deep_cql_thr0.02,deep_cql_run,240,1.0801454316754835,1.2290200663274713,0.1719510957313456
deep_cql_thr0.05,deep_cql_run,240,1.0795191178828778,1.1799564109868677,0.1308185497991742
integrated_H10,previous_horizon12,240,1.0572335909962278,1.1454643518131735,0.1549295702683074
fqi_ridge_g0,previous_rolling_fqi,240,1.0821108275264963,0.6967576724677327,0.297002872315464
fqi_ridge_g0.95,previous_rolling_fqi,240,0.9948700078218974,0.0298887490933277,0.2588504963212034
